title,platform,psd_URL,icon_URL,price,status
Only Way Up! Parkour Jump Simulator,PS4,https://psdeals.net/ua-store/game/2647548/only-way-up-parkour-jump-simulator,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-CUSA45129_00-0909214941459065/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,259.00₴,-1
Sky Races,PS5,https://psdeals.net/ua-store/game/2647510/sky-races,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0198-PPSA17411_00-0490970126533617/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,194.00₴,-1
UFC® 5,PS5,https://psdeals.net/ua-store/game/2647163/ufc-5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA03541_00-BASEEUPS5UFC5000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,399.00₴",-1
UFC® 5 Издание Deluxe,PS5,https://psdeals.net/ua-store/game/2647162/ufc-5-%D0%B8%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-deluxe,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA03541_00-DLXEDEUPS5UFC500/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"3,499.00₴",-1
UFC 5 Издание Deluxe,PS5,https://psdeals.net/ua-store/game/2647161/ufc-5-%D0%B8%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-deluxe,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA03541_00-DLXPREORDLOYALTY/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
Metaball,PS5,https://psdeals.net/ua-store/game/2647160/metaball,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7609-PPSA18533_00-0564626899608961/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,,-1
Mudness Offroad 2 - Runner 4x4 Mud Challange Simulator,PS4,https://psdeals.net/ua-store/game/2647159/mudness-offroad-2-runner-4x4-mud-challange-simulator,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-CUSA43675_00-0691881752681344/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Mudness Offroad 2 - Runner 4x4 Mud Challange Simulator,PS5,https://psdeals.net/ua-store/game/2647158/mudness-offroad-2-runner-4x4-mud-challange-simulator,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-PPSA16988_00-0864080963254278/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Night at the Gates of Hell,PS5 / PS4,https://psdeals.net/ua-store/game/2647157/night-at-the-gates-of-hell,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6776-PPSA16252_00-0457863793614345/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Turbo Dash Kart 2023 Racing,PS4,https://psdeals.net/ua-store/game/2647156/turbo-dash-kart-2023-racing,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6326-CUSA44616_00-0023831359822496/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
